,index,date,close,high,low,open,candle_size
123230,123230,2022-01-25 09:30:00+05:30,16978.75,17006.85,16957.1,16978.95,-0.2000000000007276
123231,123231,2022-01-25 09:35:00+05:30,17079.55,17079.55,16968.3,16977.55,102.0
123232,123232,2022-01-25 09:40:00+05:30,17113.0,17113.0,17065.4,17080.0,33.0
123233,123233,2022-01-25 09:45:00+05:30,17104.4,17141.4,17078.95,17114.25,-9.849999999998545
123234,123234,2022-01-25 09:50:00+05:30,17120.05,17136.4,17105.65,17105.95,14.099999999998545
123247,123247,2022-01-25 10:55:00+05:30,17009.65,17037.4,17009.65,17014.05,-4.399999999997817
123248,123248,2022-01-25 11:00:00+05:30,17027.45,17039.35,17005.45,17009.25,18.200000000000728
123249,123249,2022-01-25 11:05:00+05:30,17047.1,17055.45,17025.5,17026.7,20.399999999997817
123250,123250,2022-01-25 11:10:00+05:30,17077.45,17079.3,17047.4,17047.6,29.850000000002183
123251,123251,2022-01-25 11:15:00+05:30,17093.7,17098.4,17066.45,17077.35,16.350000000002183
123252,123252,2022-01-25 11:20:00+05:30,17089.6,17095.0,17072.1,17092.25,-2.650000000001455
123253,123253,2022-01-25 11:25:00+05:30,17106.45,17119.45,17088.5,17088.5,17.950000000000728
123254,123254,2022-01-25 11:30:00+05:30,17105.1,17117.15,17081.0,17107.6,-2.5
123255,123255,2022-01-25 11:35:00+05:30,17101.2,17111.8,17094.7,17104.3,-3.099999999998545
123256,123256,2022-01-25 11:40:00+05:30,17092.85,17104.25,17082.8,17100.9,-8.05000000000291
123257,123257,2022-01-25 11:45:00+05:30,17112.95,17117.55,17091.3,17091.85,21.100000000002183
123258,123258,2022-01-25 11:50:00+05:30,17091.85,17113.6,17087.7,17111.85,-20.0
123259,123259,2022-01-25 11:55:00+05:30,17064.65,17091.9,17057.0,17091.9,-27.25
123260,123260,2022-01-25 12:00:00+05:30,17054.2,17073.05,17050.2,17064.75,-10.549999999999272
123271,123271,2022-01-25 12:55:00+05:30,17068.85,17083.3,17060.55,17071.05,-2.2000000000007276
123272,123272,2022-01-25 13:00:00+05:30,17092.5,17094.8,17062.0,17067.7,24.799999999999272
123273,123273,2022-01-25 13:05:00+05:30,17108.55,17114.6,17091.2,17092.2,16.349999999998545
123274,123274,2022-01-25 13:10:00+05:30,17130.05,17133.05,17108.25,17108.25,21.799999999999272
123275,123275,2022-01-25 13:15:00+05:30,17151.05,17158.0,17129.6,17129.6,21.450000000000728
123278,123278,2022-01-25 13:30:00+05:30,17141.2,17157.05,17136.9,17156.65,-15.450000000000728
123279,123279,2022-01-25 13:35:00+05:30,17156.9,17162.6,17129.3,17140.9,16.0
123280,123280,2022-01-25 13:40:00+05:30,17144.4,17159.35,17142.8,17157.7,-13.299999999999272
123281,123281,2022-01-25 13:45:00+05:30,17187.1,17187.6,17134.4,17143.7,43.39999999999782
123282,123282,2022-01-25 13:50:00+05:30,17215.9,17220.15,17188.2,17188.2,27.700000000000728
123283,123283,2022-01-25 13:55:00+05:30,17215.75,17228.8,17204.15,17215.1,0.6500000000014552
123284,123284,2022-01-25 14:00:00+05:30,17227.65,17231.3,17202.0,17216.0,11.650000000001455
123286,123286,2022-01-25 14:10:00+05:30,17206.0,17222.75,17204.35,17206.95,-0.9500000000007276
123287,123287,2022-01-25 14:15:00+05:30,17207.5,17210.3,17180.15,17205.35,2.150000000001455
123288,123288,2022-01-25 14:20:00+05:30,17220.8,17229.1,17206.3,17206.3,14.5
123289,123289,2022-01-25 14:25:00+05:30,17206.0,17223.1,17203.6,17220.5,-14.5
123290,123290,2022-01-25 14:30:00+05:30,17223.25,17225.75,17205.95,17205.95,17.299999999999272
123291,123291,2022-01-25 14:35:00+05:30,17236.45,17236.6,17214.65,17222.25,14.200000000000728
123292,123292,2022-01-25 14:40:00+05:30,17230.35,17250.3,17224.95,17235.4,-5.05000000000291
123293,123293,2022-01-25 14:45:00+05:30,17257.55,17257.55,17229.15,17229.15,28.399999999997817
123294,123294,2022-01-25 14:50:00+05:30,17285.0,17285.0,17257.5,17258.4,26.599999999998545
123295,123295,2022-01-25 14:55:00+05:30,17249.7,17285.8,17249.15,17284.95,-35.25
123296,123296,2022-01-25 15:00:00+05:30,17266.7,17277.55,17250.3,17250.3,16.400000000001455
123330,123330,2022-01-27 11:35:00+05:30,16933.9,16947.6,16919.6,16938.55,-4.649999999997817
123331,123331,2022-01-27 11:40:00+05:30,16940.9,16946.05,16932.5,16933.3,7.600000000002183
123332,123332,2022-01-27 11:45:00+05:30,16928.9,16949.35,16928.9,16940.35,-11.44999999999709
