date,0,Percent Change,100
2015-03-10 13:30:00+05:30,-0.361827227,0.361827227,107.9607854
2015-03-11 10:10:00+05:30,-0.271249292,0.271249292,108.2536282
2015-03-11 11:45:00+05:30,-0.039546366,0.039546366,108.2964386
2015-03-11 13:10:00+05:30,-0.119366668,0.119366668,108.4257085
2015-03-11 15:05:00+05:30,-0.011499342,0.011499342,108.4381767
2015-03-12 14:40:00+05:30,-0.034818345,0.034818345,108.4759331
2015-03-13 09:55:00+05:30,-0.392440124,0.392440124,108.9016362
2015-03-13 10:45:00+05:30,-0.116138703,0.116138703,109.0281131
2015-03-13 11:20:00+05:30,-0.469486256,0.469486256,109.5399851
2015-03-13 11:45:00+05:30,-0.075379198,0.075379198,109.6225555
2015-03-13 13:00:00+05:30,-0.023586941,0.023586941,109.6484121
2015-03-13 13:50:00+05:30,-0.313813554,0.313813554,109.9925037
2015-03-16 09:35:00+05:30,-0.082173548,0.082173548,110.0828884
2015-03-16 10:15:00+05:30,0.002315552,-0.002315552,110.0803394
2015-03-16 14:00:00+05:30,-0.044030149,0.044030149,110.1288079
2015-03-16 14:25:00+05:30,0.008737162,-0.008737162,110.1191858
2015-03-16 14:55:00+05:30,0.007650356,-0.007650356,110.1107613
2015-03-17 09:35:00+05:30,0.021172751,-0.021172751,110.0874478
2015-03-17 14:10:00+05:30,0.003989339,-0.003989339,110.083056
2015-03-18 10:15:00+05:30,-0.186071086,0.186071086,110.2878888
2015-03-18 12:10:00+05:30,-0.034980073,0.034980073,110.3264676
2015-03-18 13:40:00+05:30,-0.051199448,0.051199448,110.3829541
2015-03-18 14:55:00+05:30,0.015907873,-0.015907873,110.3653945
2015-03-19 09:50:00+05:30,0.011964789,-0.011964789,110.3521895
2015-03-19 10:45:00+05:30,-0.135307954,0.135307954,110.5015048
2015-03-19 11:25:00+05:30,-0.007443885,0.007443885,110.5097304
2015-03-19 14:15:00+05:30,-0.431838201,0.431838201,110.9869537
2015-03-20 11:45:00+05:30,-0.149491612,0.149491612,111.1528699
2015-03-20 13:50:00+05:30,0.001630144,-0.001630144,111.1510579
2015-03-20 14:35:00+05:30,-0.004659697,0.004659697,111.1562372
2015-03-23 09:20:00+05:30,-0.301462501,0.301462501,111.4913316
2015-03-23 09:55:00+05:30,-0.005827981,0.005827981,111.4978293
2015-03-23 13:45:00+05:30,0.01853812,-0.01853812,111.4771597
2015-03-24 10:30:00+05:30,0.013132398,-0.013132398,111.46252
2015-03-24 11:00:00+05:30,0.009088896,-0.009088896,111.4523893
2015-03-24 12:10:00+05:30,0.008509101,-0.008509101,111.4429057
2015-03-24 13:05:00+05:30,-0.20047321,0.20047321,111.6663189
2015-03-25 09:30:00+05:30,-0.029216188,0.029216188,111.6989435
2015-03-25 11:10:00+05:30,-0.064305674,0.064305674,111.7707723
2015-03-25 12:30:00+05:30,-0.019616914,0.019616914,111.7926983
2015-03-25 12:55:00+05:30,-0.043907665,0.043907665,111.8417838
2015-03-25 13:20:00+05:30,0.009503807,-0.009503807,111.8311546
2015-03-25 15:00:00+05:30,0.006450175,-0.006450175,111.8239413
2015-03-26 10:00:00+05:30,0.001417208,-0.001417208,111.8223565
2015-03-26 10:40:00+05:30,0.011522507,-0.011522507,111.8094718
2015-03-26 14:20:00+05:30,-0.105931573,0.105931573,111.9279133
2015-03-27 11:20:00+05:30,-0.176619209,0.176619209,112.1255995
2015-03-27 12:35:00+05:30,-0.026084751,0.026084751,112.1548472
2015-03-30 11:45:00+05:30,0.007674825,-0.007674825,112.1462395
2015-03-30 13:55:00+05:30,-0.038234025,0.038234025,112.1891175
2015-03-31 10:05:00+05:30,-0.008809538,0.008809538,112.1990009
2015-04-01 09:50:00+05:30,0.006012733,-0.006012733,112.1922547
2015-04-01 10:20:00+05:30,-0.016495914,0.016495914,112.2107618
2015-04-01 11:20:00+05:30,-0.021805881,0.021805881,112.2352303
2015-04-01 12:55:00+05:30,0.004113243,-0.004113243,112.2306138
2015-04-06 09:45:00+05:30,-0.021204707,0.021204707,112.254412
2015-04-06 11:50:00+05:30,-0.072809031,0.072809031,112.3361434
2015-04-06 13:20:00+05:30,0.005753138,-0.005753138,112.3296805
2015-04-06 15:05:00+05:30,0.00479331,-0.00479331,112.3242962
2015-04-07 09:15:00+05:30,-0.018429252,0.018429252,112.3449967
2015-04-07 10:15:00+05:30,-0.101544515,0.101544515,112.4590769
2015-04-07 10:45:00+05:30,0.003468449,-0.003468449,112.4551763
2015-04-08 12:30:00+05:30,-0.210434573,0.210434573,112.6918209
2015-04-08 13:40:00+05:30,-0.044988179,0.044988179,112.7425189
2015-04-08 14:55:00+05:30,0.010220722,-0.010220722,112.7309958
2015-04-09 09:25:00+05:30,-0.354847387,0.354847387,113.1310188
2015-04-09 11:00:00+05:30,0.004701026,-0.004701026,113.1257005
2015-04-09 11:35:00+05:30,-0.091103904,0.091103904,113.2287624
2015-04-10 12:20:00+05:30,-0.022285205,0.022285205,113.2539956
2015-04-10 12:55:00+05:30,-0.046827708,0.046827708,113.3070299
2015-04-10 13:35:00+05:30,0.008978611,-0.008978611,113.2968565
2015-04-10 14:35:00+05:30,0.005021541,-0.005021541,113.2911673
2015-04-17 09:25:00+05:30,-0.127457596,0.127457596,113.4355655
2015-04-17 10:00:00+05:30,-0.050302393,0.050302393,113.4926263
2015-04-17 12:20:00+05:30,0.014512194,-0.014512194,113.476156
2015-04-17 12:50:00+05:30,-0.136378346,0.136378346,113.6309129
2015-04-17 13:30:00+05:30,-0.001620211,0.001620211,113.632754
2015-04-17 14:30:00+05:30,-0.015057799,0.015057799,113.6498645
2015-04-20 14:55:00+05:30,0.008939196,-0.008939196,113.6397052
2015-04-21 09:25:00+05:30,-0.172176105,0.172176105,113.8353656
2015-04-21 10:50:00+05:30,0.03755623,-0.03755623,113.7926133
2015-04-21 13:10:00+05:30,0.009539836,-0.009539836,113.7817577
2015-04-22 11:25:00+05:30,-0.062530148,0.062530148,113.8529056
2015-04-22 12:35:00+05:30,-0.297381375,0.297381375,114.1914829
2015-04-22 13:25:00+05:30,-0.086358893,0.086358893,114.2900974
2015-04-22 15:10:00+05:30,0.0050995,-0.0050995,114.2842692
2015-04-23 11:05:00+05:30,0.001603744,-0.001603744,114.2824364
2015-04-23 11:50:00+05:30,0.007964954,-0.007964954,114.2733338
2015-04-23 12:50:00+05:30,-0.030987057,0.030987057,114.3087438
2015-04-23 14:35:00+05:30,0.023443512,-0.023443512,114.2819458
2015-04-27 09:25:00+05:30,-0.072746575,0.072746575,114.365082
2015-04-27 10:00:00+05:30,-0.127086334,0.127086334,114.5104244
2015-04-27 12:50:00+05:30,0.020550312,-0.020550312,114.4868921
2015-04-28 11:30:00+05:30,-0.251991645,0.251991645,114.7753895
2015-04-28 11:55:00+05:30,0.008472303,-0.008472303,114.7656654
2015-04-28 12:35:00+05:30,0.005841264,-0.005841264,114.7589616
2015-04-28 13:25:00+05:30,-0.010971596,0.010971596,114.7715525
2015-04-28 13:50:00+05:30,-0.02616463,0.02616463,114.8015821
2015-04-29 09:35:00+05:30,-0.094256402,0.094256402,114.9097899
2015-04-29 10:05:00+05:30,-0.172478486,0.172478486,115.1079846
2015-04-29 14:10:00+05:30,0.015656642,-0.015656642,115.0899625
