,Percent Change
472,-0.387752135
473,-0.051944968
474,-0.006523157
475,-0.158244973
476,-0.023442949
477,-0.029868928
478,-1.90853439
479,-0.220410357
480,-0.211349498
481,0.211078476
482,-0.150705085
483,-0.436051707
484,-0.017651723
485,-0.231778783
486,-0.074506952
487,0.083688011
488,-0.15658899
489,-0.109202641
490,-0.179550406
491,0.28623752
492,-0.229350254
493,-0.194800913
494,-0.026730178
495,-0.136759519
496,-0.004204735
497,-0.018849352
498,-0.002988411
499,-0.006217267
500,-0.214748425
501,0.283809806
502,-0.253465206
503,-0.053616762
504,-0.038770358
505,-0.212755898
506,0.593001461
507,-0.001467942
508,0.56804352
509,-0.064453848
510,-0.02413373
511,0.420442758
512,-0.089382621
513,-0.056067002
514,-0.037981693
515,-0.200478938
516,0.053569037
517,-0.254710692
518,-0.034732052
519,-0.019554222
520,-0.05072008
521,-0.197417054
522,-1.045571577
523,0.903819518
524,-0.099502488
525,-0.017664314
526,-0.69287273
527,-0.058324001
528,0.100314942
529,-0.114845367
530,-0.032068288
531,-0.093298269
532,-0.139627271
533,-0.902696983
534,-0.077296624
535,-0.033200824
536,-0.052556013
537,0.477929189
538,-0.02077463
539,-0.091546433
540,-0.071070711
541,-0.393474875
542,-0.021165017
543,-0.012299259
544,-0.443134923
545,-0.110787818
546,-0.07143836
547,0.119637469
548,-0.089224274
549,-0.170394533
550,-0.030319462
551,-0.136140093
552,-0.04174439
553,-0.008177952
554,-0.054119482
555,-0.024389677
556,-0.131257986
557,0.017436589
558,-0.065403364
559,-0.991522021
560,-0.042229234
561,-0.645763224
562,-0.189149712
563,-0.058278334
564,-0.069689704
565,-0.046039558
566,-0.115456647
567,-0.229458691
568,-0.271052757
569,-0.221809029
570,-0.147910541
571,-0.233601057
572,-0.021757337
573,-0.062234054
574,-0.099555873
575,-0.431402266
576,-0.016468792
577,-0.272883091
578,-0.029591052
579,-0.04630845
580,-0.106839188
581,0.433410503
582,-0.353175633
583,-0.071003396
584,-0.174805144
585,-0.088761918
586,-0.340675477
587,-0.237535291
588,0.224432422
589,-0.085157541
590,-0.126220178
591,-0.1853984
592,-0.628041475
593,-0.282448843
594,-0.074943046
595,-0.193394328
596,0.30556566
597,-3.471492709
598,-0.02007692
