Percent Change,Percent Change1,date
-0.001084991,-0.1084991,29-01-2015 05:00
0.004387038,0.4387038,29-01-2015 05:05
0.005498383,0.5498383,29-01-2015 05:45
-0.001320891,-0.1320891,29-01-2015 06:20
0.00209064,0.209064,29-01-2015 06:35
0.002031812,0.2031812,29-01-2015 06:35
-0.000473347,-0.0473347,29-01-2015 09:30
0.001487349,0.1487349,29-01-2015 09:30
0.000934887,0.0934887,30-01-2015 03:45
0.003519431,0.3519431,30-01-2015 03:45
0.000702717,0.0702717,30-01-2015 03:45
-0.000396165,-0.0396165,30-01-2015 03:45
0.000306639,0.0306639,30-01-2015 05:55
-0.0025596,-0.25596,02-02-2015 08:05
-0.000740878,-0.0740878,02-02-2015 08:30
-0.000652465,-0.0652465,02-02-2015 08:30
-0.000530783,-0.0530783,02-02-2015 09:05
0.0002908,0.02908,03-02-2015 03:45
0.001119789,0.1119789,03-02-2015 04:05
0.000472415,0.0472415,03-02-2015 04:05
-0.000363401,-0.0363401,03-02-2015 04:05
-0.000552654,-0.0552654,03-02-2015 08:15
-0.001046586,-0.1046586,03-02-2015 08:20
-0.000998049,-0.0998049,04-02-2015 09:50
-0.001475593,-0.1475593,04-02-2015 04:45
-0.001130819,-0.1130819,04-02-2015 04:45
0.004256727,0.4256727,04-02-2015 05:50
9.25E-05,0.00925,04-02-2015 06:00
0.005289611,0.5289611,04-02-2015 09:40
-0.003080003,-0.3080003,04-02-2015 09:35
-0.000675802,-0.0675802,04-02-2015 09:35
0.00088966,0.088966,05-02-2015 04:10
-0.003108409,-0.3108409,05-02-2015 07:40
-0.002807864,-0.2807864,05-02-2015 07:40
-0.002483916,-0.2483916,05-02-2015 07:40
-0.000968135,-0.0968135,05-02-2015 07:40
-0.001626226,-0.1626226,05-02-2015 07:40
-0.000305669,-0.0305669,05-02-2015 08:30
-0.001188721,-0.1188721,05-02-2015 08:30
-0.001954098,-0.1954098,05-02-2015 08:30
-0.001714873,-0.1714873,05-02-2015 09:25
0.002259339,0.2259339,05-02-2015 09:25
-9.21E-05,-0.00921,06-02-2015 06:10
-0.00056631,-0.056631,06-02-2015 06:10
-0.000331921,-0.0331921,06-02-2015 06:50
-0.000718495,-0.0718495,09-02-2015 05:55
-0.001858503,-0.1858503,09-02-2015 06:40
-0.000906729,-0.0906729,09-02-2015 07:15
-0.001331106,-0.1331106,09-02-2015 07:15
-0.000821598,-0.0821598,09-02-2015 08:50
-0.000498657,-0.0498657,10-02-2015 04:05
0.002841419,0.2841419,10-02-2015 04:15
0.00180666,0.180666,10-02-2015 05:45
0.003738839,0.3738839,10-02-2015 05:45
0.001704751,0.1704751,10-02-2015 05:45
0.00205808,0.205808,10-02-2015 06:40
-0.001564066,-0.1564066,10-02-2015 06:40
0.005522049,0.5522049,10-02-2015 06:40
0.000901049,0.0901049,10-02-2015 09:20
0.002678944,0.2678944,10-02-2015 09:20
0.00250935,0.250935,11-02-2015 03:45
0.002117761,0.2117761,11-02-2015 03:45
-0.000993015,-0.0993015,11-02-2015 04:45
0.0041068,0.41068,11-02-2015 04:45
0.002689369,0.2689369,11-02-2015 04:45
-0.000166319,-0.0166319,11-02-2015 04:45
-0.001656075,-0.1656075,11-02-2015 04:45
0.001853738,0.1853738,11-02-2015 04:45
-0.000807297,-0.0807297,11-02-2015 05:15
-0.000904157,-0.0904157,11-02-2015 05:15
-0.0010467,-0.10467,11-02-2015 06:30
0.001651926,0.1651926,11-02-2015 07:00
-0.000515886,-0.0515886,11-02-2015 07:45
-0.000384115,-0.0384115,12-02-2015 03:45
0.004976661,0.4976661,11-02-2015 08:55
0.001702217,0.1702217,11-02-2015 09:35
-0.000213906,-0.0213906,12-02-2015 06:00
-0.000836051,-0.0836051,12-02-2015 06:00
-0.000844566,-0.0844566,12-02-2015 08:10
-0.000890142,-0.0890142,12-02-2015 08:10
-0.00054984,-0.054984,12-02-2015 08:20
0.003554088,0.3554088,12-02-2015 09:05
0.002743476,0.2743476,12-02-2015 09:05
-0.002278879,-0.2278879,12-02-2015 09:30
-0.000451313,-0.0451313,12-02-2015 09:30
-0.000799092,-0.0799092,13-02-2015 04:10
