,index,date,close,high,low,open,volume,date1,year,month,day,time,Size of Candle,is_forty_point
1130,123157,2022-01-24 09:40:00+05:30,17470.35,17472.0,17416.25,17421.15,0,2022-01-24,2022,1,24,09:40:00,49.19999999999709,True
1131,123158,2022-01-24 09:45:00+05:30,17498.1,17507.55,17460.4,17470.1,0,2022-01-24,2022,1,24,09:45:00,28.0,False
1132,123159,2022-01-24 09:50:00+05:30,17470.55,17515.9,17470.55,17496.65,0,2022-01-24,2022,1,24,09:50:00,-26.100000000002183,False
1133,123160,2022-01-24 09:55:00+05:30,17450.3,17470.85,17439.95,17470.45,0,2022-01-24,2022,1,24,09:55:00,-20.150000000001455,False
1134,123161,2022-01-24 10:00:00+05:30,17435.75,17460.15,17428.6,17448.55,0,2022-01-24,2022,1,24,10:00:00,-12.799999999999272,False
1135,123162,2022-01-24 10:05:00+05:30,17460.5,17461.6,17431.35,17436.25,0,2022-01-24,2022,1,24,10:05:00,24.25,False
1136,123163,2022-01-24 10:10:00+05:30,17427.9,17462.1,17427.9,17460.85,0,2022-01-24,2022,1,24,10:10:00,-32.94999999999709,False
1137,123164,2022-01-24 10:15:00+05:30,17406.4,17431.65,17394.5,17427.15,0,2022-01-24,2022,1,24,10:15:00,-20.75,False
1138,123165,2022-01-24 10:20:00+05:30,17403.25,17429.85,17397.8,17406.75,0,2022-01-24,2022,1,24,10:20:00,-3.5,False
1139,123166,2022-01-24 10:25:00+05:30,17389.45,17410.9,17386.7,17401.25,0,2022-01-24,2022,1,24,10:25:00,-11.799999999999272,False
1185,123212,2022-01-24 14:15:00+05:30,17115.6,17131.1,17003.5,17003.5,0,2022-01-24,2022,1,24,14:15:00,112.09999999999854,True
1186,123213,2022-01-24 14:20:00+05:30,17153.55,17153.55,17096.3,17114.6,0,2022-01-24,2022,1,24,14:20:00,38.95000000000073,False
1187,123214,2022-01-24 14:25:00+05:30,17081.15,17158.0,17072.5,17152.8,0,2022-01-24,2022,1,24,14:25:00,-71.64999999999782,False
1188,123215,2022-01-24 14:30:00+05:30,17128.85,17129.55,17070.0,17078.3,0,2022-01-24,2022,1,24,14:30:00,50.54999999999927,True
1189,123216,2022-01-24 14:35:00+05:30,17096.4,17138.3,17094.45,17129.05,0,2022-01-24,2022,1,24,14:35:00,-32.64999999999782,False
1190,123217,2022-01-24 14:40:00+05:30,17054.35,17100.65,17045.3,17093.3,0,2022-01-24,2022,1,24,14:40:00,-38.95000000000073,False
1191,123218,2022-01-24 14:45:00+05:30,17030.5,17063.05,17027.3,17057.55,0,2022-01-24,2022,1,24,14:45:00,-27.049999999999272,False
1192,123219,2022-01-24 14:50:00+05:30,17044.65,17046.85,17015.4,17031.6,0,2022-01-24,2022,1,24,14:50:00,13.05000000000291,False
1193,123220,2022-01-24 14:55:00+05:30,17097.95,17098.9,17021.2,17045.2,0,2022-01-24,2022,1,24,14:55:00,52.75,True
1194,123221,2022-01-24 15:00:00+05:30,17138.1,17155.05,17092.75,17094.15,0,2022-01-24,2022,1,24,15:00:00,43.94999999999709,True
1201,123228,2022-01-25 09:20:00+05:30,16948.1,16967.9,16840.75,16858.7,0,2022-01-25,2022,1,25,09:20:00,89.39999999999782,True
1202,123229,2022-01-25 09:25:00+05:30,16978.7,17006.55,16946.4,16946.4,0,2022-01-25,2022,1,25,09:25:00,32.29999999999927,False
1203,123230,2022-01-25 09:30:00+05:30,16978.75,17006.85,16957.1,16978.95,0,2022-01-25,2022,1,25,09:30:00,-0.2000000000007276,False
1204,123231,2022-01-25 09:35:00+05:30,17079.55,17079.55,16968.3,16977.55,0,2022-01-25,2022,1,25,09:35:00,102.0,True
1205,123232,2022-01-25 09:40:00+05:30,17113.0,17113.0,17065.4,17080.0,0,2022-01-25,2022,1,25,09:40:00,33.0,False
1206,123233,2022-01-25 09:45:00+05:30,17104.4,17141.4,17078.95,17114.25,0,2022-01-25,2022,1,25,09:45:00,-9.849999999998545,False
1207,123234,2022-01-25 09:50:00+05:30,17120.05,17136.4,17105.65,17105.95,0,2022-01-25,2022,1,25,09:50:00,14.099999999998545,False
1208,123235,2022-01-25 09:55:00+05:30,17170.75,17174.05,17120.8,17120.8,0,2022-01-25,2022,1,25,09:55:00,49.95000000000073,True
1209,123236,2022-01-25 10:00:00+05:30,17129.3,17200.55,17117.2,17173.45,0,2022-01-25,2022,1,25,10:00:00,-44.150000000001455,False
1210,123237,2022-01-25 10:05:00+05:30,17102.05,17158.8,17095.85,17128.1,0,2022-01-25,2022,1,25,10:05:00,-26.049999999999272,False
1254,123281,2022-01-25 13:45:00+05:30,17187.1,17187.6,17134.4,17143.7,0,2022-01-25,2022,1,25,13:45:00,43.39999999999782,True
1255,123282,2022-01-25 13:50:00+05:30,17215.9,17220.15,17188.2,17188.2,0,2022-01-25,2022,1,25,13:50:00,27.700000000000728,False
1256,123283,2022-01-25 13:55:00+05:30,17215.75,17228.8,17204.15,17215.1,0,2022-01-25,2022,1,25,13:55:00,0.6500000000014552,False
1257,123284,2022-01-25 14:00:00+05:30,17227.65,17231.3,17202.0,17216.0,0,2022-01-25,2022,1,25,14:00:00,11.650000000001455,False
1258,123285,2022-01-25 14:05:00+05:30,17209.0,17233.35,17208.05,17228.3,0,2022-01-25,2022,1,25,14:05:00,-19.299999999999272,False
1259,123286,2022-01-25 14:10:00+05:30,17206.0,17222.75,17204.35,17206.95,0,2022-01-25,2022,1,25,14:10:00,-0.9500000000007276,False
1260,123287,2022-01-25 14:15:00+05:30,17207.5,17210.3,17180.15,17205.35,0,2022-01-25,2022,1,25,14:15:00,2.150000000001455,False
1261,123288,2022-01-25 14:20:00+05:30,17220.8,17229.1,17206.3,17206.3,0,2022-01-25,2022,1,25,14:20:00,14.5,False
1262,123289,2022-01-25 14:25:00+05:30,17206.0,17223.1,17203.6,17220.5,0,2022-01-25,2022,1,25,14:25:00,-14.5,False
1263,123290,2022-01-25 14:30:00+05:30,17223.25,17225.75,17205.95,17205.95,0,2022-01-25,2022,1,25,14:30:00,17.299999999999272,False
1276,123303,2022-01-27 09:20:00+05:30,17058.75,17061.65,16975.0,16985.35,0,2022-01-27,2022,1,27,09:20:00,73.40000000000146,True
1277,123304,2022-01-27 09:25:00+05:30,17016.9,17059.25,16995.9,17059.25,0,2022-01-27,2022,1,27,09:25:00,-42.349999999998545,False
